"SYMBOL
","OPEN
","HIGH
","LOW
","PREV. CLOSE
","LTP
","INDICATIVE CLOSE
","CHNG
","%CHNG
","VOLUME
(shares)","VALUE
 (₹ Crores)","52W H
","52W L
","30 D   %CHNG
","365 D % CHNG
 21-Dec-2023"
"DEEPAKNTR","2,656.95","2,665.00","2,586.20","2,638.70","2,610.15","-","-28.55","-1.08","2,25,161","59.18","3,169.00","2,021.00","-2.79","13.66"
"INOXWIND","188.05","190.69","184.02","187.81","185.76","-","-2.05","-1.09","45,09,840","84.76","261.90","99.79","-0.85","-58.63"
"AUROPHARMA","1,254.80","1,275.30","1,235.70","1,254.70","1,241.00","-","-13.70","-1.09","18,43,118","232.50","1,592.00","958.50","-0.67","13.69"
"RTNINDIA","68.01","69.30","66.31","67.71","66.97","-","-0.74","-1.09","18,88,928","12.78","94.85","59.20","5.14","-15.48"
"SOUTHBANK","25.21","25.55","24.84","25.22","24.94","-","-0.28","-1.11","1,58,45,615","39.90","37.18","22.27","9.07","-7.03"
"REDTAPE","870.00","874.00","852.20","864.70","854.95","-","-9.75","-1.13","75,653","6.54","980.00","437.05","5.93","92.48"
"GSPL","371.60","375.00","366.05","371.55","367.35","-","-4.20","-1.13","6,30,294","23.32","469.70","260.05","12.99","26.79"
"NTPC","337.80","343.90","331.00","337.40","333.55","-","-3.85","-1.14","2,03,75,797","687.28","448.45","293.20","-9.12","10.37"
"BLS","489.50","501.50","481.10","490.25","484.60","-","-5.65","-1.15","43,36,035","212.80","501.50","262.95","25.64","59.94"
"ISEC","844.95","847.40","822.65","842.85","833.05","-","-9.80","-1.16","5,03,711","41.93","922.45","672.05","-0.94","12.63"
"PIIND","3,880.00","3,904.35","3,801.00","3,873.60","3,827.80","-","-45.80","-1.18","3,95,750","151.61","4,804.05","3,220.00","-8.08","11.35"
"DHANI","88.30","91.90","86.50","87.64","86.60","-","-1.04","-1.19","43,43,692","38.42","101.63","33.25","25.87","116.19"
"IREDA","209.15","209.79","203.25","209.03","206.50","-","-2.53","-1.21","67,13,257","138.47","310.00","95.55","8.50","87.73"
"NYKAA","171.00","172.20","166.12","170.00","167.91","-","-2.09","-1.23","87,97,483","147.87","229.80","139.80","-1.75","0.56"
"BAJAJFINSV","1,589.55","1,603.60","1,565.00","1,589.55","1,570.00","-","-19.55","-1.23","18,06,341","285.75","2,029.90","1,419.05","-1.67","-5.83"
"PGHH","15,380.00","15,471.95","15,001.00","15,367.20","15,178.00","-","-189.20","-1.23","2,714","4.13","17,745.00","15,001.00","-4.34","-10.46"
"TI","422.00","432.90","409.05","417.95","412.80","-","-5.15","-1.23","13,04,552","55.21","444.20","182.05","19.91","72.58"
"IGL","390.05","395.50","384.10","389.85","385.00","-","-4.85","-1.24","40,58,988","158.26","570.35","306.10","21.17","-3.54"
"GPIL","223.85","225.85","217.01","221.67","218.90","-","-2.77","-1.25","19,15,449","42.44","253.40","131.60","17.68","-68.13"
"UNITDSPR","1,578.60","1,588.95","1,541.30","1,572.35","1,552.70","-","-19.65","-1.25","4,84,886","75.65","1,647.50","1,047.55","3.86","-"
"ALKEM","5,535.00","5,543.25","5,404.80","5,494.25","5,425.00","-","-69.25","-1.26","1,13,105","61.85","6,439.90","4,407.05","-1.85","10.54"
"SHILPAMED","832.00","844.30","799.85","828.40","817.95","-","-10.45","-1.26","3,04,969","25.24","959.50","313.15","-7.61","123.18"
"UJJIVANSFB","34.60","35.52","34.00","34.71","34.27","-","-0.44","-1.27","82,52,693","28.78","61.80","32.01","1.73","-40.31"
"ASTERDM","494.45","507.50","482.40","491.85","485.60","-","-6.25","-1.27","14,89,665","74.22","558.00","311.10","12.31","25.14"
"BAJFINANCE","6,913.35","7,024.00","6,804.70","6,918.55","6,829.95","-","-88.60","-1.28","27,00,019","1,852.77","7,830.00","6,187.80","3.84","-7.04"
"BALAMINES","1,998.00","2,009.00","1,971.10","1,998.55","1,972.60","-","-25.95","-1.30","24,371","4.84","2,735.00","1,950.05","-1.09","-16.56"
"MOTHERSON","158.00","159.40","155.00","157.56","155.50","-","-2.06","-1.31","1,66,66,820","261.25","216.99","90.20","-5.62","66.11"
"VMART","3,860.00","3,919.75","3,662.00","3,844.10","3,793.35","-","-50.75","-1.32","14,810","5.62","4,520.00","1,815.10","7.62","85.68"
"KTKBANK","213.10","214.14","207.51","212.76","209.95","-","-2.81","-1.32","12,74,078","26.76","286.55","192.00","4.07","-10.40"
"RATNAMANI","3,285.00","3,337.95","3,261.00","3,320.60","3,276.50","-","-44.10","-1.33","21,804","7.19","3,978.50","2,581.50","-3.12","-1.56"
"OLECTRA","1,510.00","1,524.75","1,465.00","1,505.05","1,485.00","-","-20.05","-1.33","2,72,121","40.72","2,221.95","1,181.25","3.77","19.37"
"JKCEMENT","4,604.50","4,646.05","4,500.25","4,577.30","4,515.95","-","-61.35","-1.34","1,19,338","54.57","4,895.50","3,642.00","14.31","17.74"
"ROSSARI","804.00","822.20","787.55","799.80","789.00","-","-10.80","-1.35","76,871","6.18","972.70","656.95","2.13","0.72"
"ESAFSFB","38.96","39.34","38.45","39.13","38.60","-","-0.53","-1.35","4,92,548","1.91","82.40","37.90","-1.73","-44.50"
"TANLA","685.00","690.75","662.00","680.25","671.00","-","-9.25","-1.36","4,48,798","30.36","1,248.00","662.00","-4.00","-38.25"
"IOC","139.68","141.65","136.60","139.62","137.70","-","-1.92","-1.38","1,95,45,043","271.36","196.80","117.35","2.97","10.41"
"TATACONSUM","907.00","916.50","882.90","907.10","894.45","-","-12.65","-1.39","24,41,036","219.11","1,256.44","882.90","-3.02","-9.17"
"ZYDUSLIFE","990.10","990.95","970.30","985.60","971.55","-","-14.05","-1.43","9,10,631","89.41","1,324.30","648.15","2.73","44.98"
"INTELLECT","840.00","848.95","814.95","836.95","825.00","-","-11.95","-1.43","2,32,240","19.15","1,199.00","693.00","14.34","5.61"
"COLPAL","2,780.95","2,791.65","2,740.00","2,780.70","2,740.95","-","-39.75","-1.43","3,97,828","109.89","3,890.00","2,354.00","0.63","14.87"
"BOROLTD","433.25","434.90","418.00","433.25","427.00","-","-6.25","-1.44","1,10,376","4.71","515.90","285.25","-2.10","22.96"
"BHARATFORG","1,297.80","1,315.70","1,274.35","1,297.80","1,279.00","-","-18.80","-1.45","14,95,889","194.49","1,804.50","1,063.00","-3.36","8.02"
"ITDCEM","525.90","529.65","507.20","520.60","513.00","-","-7.60","-1.46","5,26,477","27.33","694.30","256.10","-1.91","81.23"
"MANAPPURAM","183.68","186.50","180.00","183.68","180.99","-","-2.69","-1.46","1,26,61,684","232.23","230.40","138.35","16.97","6.49"
"CHEMPLASTS","510.30","516.35","494.00","505.50","498.00","-","-7.50","-1.48","82,974","4.20","633.90","402.80","1.80","-2.63"
"WHIRLPOOL","1,952.55","1,981.10","1,915.00","1,952.55","1,923.50","-","-29.05","-1.49","1,70,934","33.36","2,449.70","1,186.10","5.63","43.06"
"BORORENEW","610.00","613.20","587.80","609.70","600.60","-","-9.10","-1.49","7,55,496","45.37","669.35","402.80","37.04","41.70"
"SANSERA","1,532.90","1,572.65","1,488.50","1,532.90","1,510.00","-","-22.90","-1.49","3,17,264","48.14","1,758.30","900.45","2.05","53.95"
"HUDCO","244.40","249.47","240.85","244.88","241.22","-","-3.66","-1.49","61,39,389","150.88","353.70","96.90","17.13","128.95"
"MAXHEALTH","1,180.70","1,200.00","1,159.75","1,180.70","1,163.05","-","-17.65","-1.49","36,90,684","434.27","1,215.55","630.90","16.78","79.30"
"GRANULES","602.50","612.50","590.00","600.05","591.00","-","-9.05","-1.51","39,42,427","236.95","721.00","365.45","7.19","54.55"
"CUMMINSIND","3,357.65","3,407.25","3,304.05","3,357.65","3,307.00","-","-50.65","-1.51","6,39,822","214.49","4,171.90","1,888.30","0.35","70.65"
"ERIS","1,394.10","1,406.50","1,365.00","1,394.10","1,373.00","-","-21.10","-1.51","1,69,927","23.67","1,593.90","809.15","0.87","58.95"
"NRBBEARING","285.55","291.35","279.15","286.35","282.00","-","-4.35","-1.52","1,35,316","3.85","401.55","242.60","-0.70","-0.74"
"MUTHOOTMF","186.00","187.00","181.98","185.52","182.70","-","-2.82","-1.52","84,506","1.56","281.00","180.41","-0.84","-"
"MRF","1,29,843.10","1,30,660.10","1,27,556.10","1,29,843.10","1,27,864.40","-","-1,978.70","-1.52","9,524","122.26","1,51,445.00","1,15,500.05","4.15","8.92"
"ABBOTINDIA","28,927.00","29,218.60","28,501.00","29,053.85","28,611.05","-","-442.80","-1.52","14,576","42.06","30,521.00","22,000.00","5.26","28.18"
"KSB","776.85","783.00","763.00","776.85","765.00","-","-11.85","-1.53","1,07,604","8.36","1,060.00","634.40","-5.28","-77.60"
"SAMMAANCAP","155.00","158.50","150.11","154.15","151.79","-","-2.36","-1.53","1,80,45,173","276.96","227.95","130.69","0.82","-"
"CONFIPET","73.40","73.59","71.20","72.87","71.75","-","-1.12","-1.54","3,98,689","2.90","120.00","62.55","4.30","-21.06"
"FCL","341.00","342.80","332.00","338.75","333.50","-","-5.25","-1.55","1,14,755","3.86","458.85","303.80","-0.10","-4.72"
"AARTIDRUGS","434.15","434.20","425.00","431.90","425.15","-","-6.75","-1.56","1,12,816","4.84","635.00","424.35","-6.87","-16.03"
"HEROMOTOCO","4,406.95","4,461.55","4,325.00","4,406.95","4,337.95","-","-69.00","-1.57","8,00,108","350.52","6,246.25","3,752.05","-9.13","12.72"
"TCIEXP","836.80","838.95","822.00","836.40","823.25","-","-13.15","-1.57","35,394","2.93","1,438.00","800.80","-0.71","-40.81"
"MAHLOG","381.05","382.45","373.65","380.55","374.55","-","-6.00","-1.58","1,00,728","3.81","554.70","366.55","-6.77","-2.57"
"DYNAMATECH","8,402.65","8,456.95","7,974.30","8,402.65","8,270.00","-","-132.65","-1.58","18,557","15.21","9,082.90","4,219.95","13.69","88.85"
"WOCKPHARMA","1,474.40","1,495.20","1,427.00","1,474.45","1,451.15","-","-23.30","-1.58","4,67,026","68.18","1,536.60","376.45","22.68","256.85"
"JINDALSTEL","925.00","934.40","904.00","922.40","907.65","-","-14.75","-1.60","10,99,720","101.42","1,097.00","685.05","4.93","28.61"
"PGHL","5,515.00","5,542.25","5,410.05","5,503.00","5,415.00","-","-88.00","-1.60","4,959","2.71","5,850.00","4,636.55","6.29","10.60"
"LTFOODS","418.75","422.00","408.25","418.70","412.00","-","-6.70","-1.60","5,57,623","23.04","451.60","160.00","21.04","102.70"
"STARHEALTH","495.05","495.75","477.50","493.15","485.25","-","-7.90","-1.60","12,04,557","58.80","647.00","452.70","5.13","-5.18"
"HCC","44.50","45.01","42.24","44.05","43.34","-","-0.71","-1.61","3,45,62,294","151.07","57.50","26.63","20.60","47.66"
"NSLNISP","44.00","44.30","43.01","43.91","43.20","-","-0.71","-1.62","26,83,255","11.70","73.70","42.95","-2.00","-13.89"
"OBEROIRLTY","2,304.90","2,337.50","2,235.45","2,287.10","2,250.00","-","-37.10","-1.62","12,07,821","276.85","2,341.15","1,268.15","16.30","61.36"
"SUNFLAG","284.99","306.00","277.25","284.88","280.25","-","-4.63","-1.63","66,51,950","196.03","306.00","175.00","42.98","33.23"
"SULA","421.40","424.75","412.55","420.85","414.00","-","-6.85","-1.63","1,46,894","6.15","699.00","382.35","5.06","-11.88"
"TRIDENT","34.87","35.47","34.06","34.87","34.30","-","-0.57","-1.63","1,42,05,622","49.61","52.90","31.07","7.53","-4.94"
"SUNTV","710.00","720.95","694.10","710.55","698.90","-","-11.65","-1.64","2,84,080","20.11","921.00","567.60","-5.91","0.43"
"ACE","1,515.00","1,542.00","1,481.00","1,518.05","1,493.00","-","-25.05","-1.65","6,44,936","97.03","1,695.00","780.00","20.08","73.45"
"ZENSARTECH","786.00","793.20","746.15","778.10","765.20","-","-12.90","-1.66","6,84,057","52.96","839.50","515.00","9.29","22.88"
"PURVA","424.00","424.00","401.75","411.85","404.95","-","-6.90","-1.68","1,38,682","5.66","569.60","173.55","23.53","119.73"
"CUB","180.00","181.06","174.37","180.13","177.11","-","-3.02","-1.68","40,17,121","71.48","187.90","125.40","2.84","17.69"
"AUBANK","548.75","554.80","534.45","548.70","539.50","-","-9.20","-1.68","24,99,947","136.10","813.40","534.45","-9.04","-30.30"
"LINDEINDIA","6,469.30","6,517.00","6,320.00","6,469.30","6,360.00","-","-109.30","-1.69","25,840","16.60","9,935.05","5,325.00","-4.19","11.27"
"PTCIL","11,799.90","11,799.90","11,507.00","11,706.40","11,507.00","-","-199.40","-1.70","42,216","49.05","15,702.10","5,550.00","-1.07","100.62"
"SUPRAJIT","485.40","486.40","468.00","481.10","472.85","-","-8.25","-1.71","53,612","2.55","639.60","357.60","3.31","30.19"
"ENDURANCE","2,225.30","2,244.90","2,195.05","2,233.45","2,195.05","-","-38.40","-1.72","22,998","5.10","3,061.30","1,716.20","-6.31","22.42"
"CASTROLIND","204.00","204.99","199.00","203.12","199.62","-","-3.50","-1.72","24,56,339","49.56","284.40","143.50","5.53","32.26"
"JTLIND","98.50","98.50","90.15","95.15","93.50","-","-1.65","-1.73","8,95,968","8.51","139.00","83.45","-0.68","-60.78"
"KIRLOSENG","1,048.85","1,061.00","1,024.00","1,046.20","1,028.00","-","-18.20","-1.74","3,14,620","32.67","1,450.00","620.00","-7.69","58.48"
"APLAPOLLO","1,596.95","1,597.25","1,553.15","1,583.15","1,555.55","-","-27.60","-1.74","5,37,053","84.85","1,728.95","1,305.00","6.29","-1.68"
"TATAINVEST","6,660.00","6,698.70","6,510.00","6,639.55","6,523.60","-","-115.95","-1.75","25,810","17.03","9,756.85","4,020.05","-1.59","56.81"
"BAJAJELEC","800.15","800.15","766.20","800.15","786.00","-","-14.15","-1.77","30,990","2.42","1,110.00","736.70","1.54","-22.24"
"POONAWALLA","322.00","326.75","316.20","324.40","318.65","-","-5.75","-1.77","19,43,922","62.41","519.70","270.05","-11.01","-27.59"
"AWL","295.90","300.35","290.00","296.95","291.65","-","-5.30","-1.78","10,10,277","29.77","408.95","279.00","-11.22","-17.19"
"TIIL","2,975.00","3,044.90","2,901.00","3,003.70","2,950.00","-","-53.70","-1.79","17,018","5.05","3,933.00","1,532.50","12.25","15.32"
"ULTRACEMCO","11,664.85","11,748.00","11,397.65","11,670.80","11,460.95","-","-209.85","-1.80","2,99,802","344.08","12,145.35","9,250.00","6.07","14.75"
"ONGC","241.50","244.15","235.30","241.85","237.50","-","-4.35","-1.80","1,55,56,528","372.42","345.00","200.95","-4.40","17.00"
"AIAENG","3,430.05","3,445.95","3,349.90","3,431.80","3,370.00","-","-61.80","-1.80","75,871","25.57","4,949.95","3,337.00","-2.46","-4.28"
"AHLUCONT","1,080.05","1,080.05","1,035.00","1,069.35","1,050.00","-","-19.35","-1.81","65,012","6.88","1,542.45","747.80","8.46","30.46"
"BAJAJ-AUTO","8,950.00","9,066.75","8,759.40","8,982.65","8,820.00","-","-162.65","-1.81","3,16,335","281.71","12,774.00","6,232.00","-7.95","40.68"
"ARE&M","1,266.95","1,274.95","1,185.00","1,220.10","1,198.00","-","-22.10","-1.81","14,54,219","178.82","1,775.95","728.50","-4.04","57.04"
"HINDPETRO","409.00","413.50","397.95","407.40","400.00","-","-7.40","-1.82","80,35,990","325.96","457.15","239.13","10.31","6.33"
"GATEWAY","83.15","83.79","80.01","82.76","81.25","-","-1.51","-1.82","15,25,877","12.44","121.55","80.01","-3.35","-19.06"
"ELGIEQUIP","613.30","613.55","590.40","608.15","597.05","-","-11.10","-1.83","2,64,960","15.96","798.95","503.10","7.07","12.80"
"MARICO","641.85","647.50","626.00","640.95","629.25","-","-11.70","-1.83","17,56,903","111.55","719.85","486.30","6.26","19.18"
"CROMPTON","395.00","397.50","386.60","395.45","388.20","-","-7.25","-1.83","10,90,659","42.66","484.00","261.25","-0.63","29.42"
"BRITANNIA","4,790.00","4,807.50","4,680.50","4,785.75","4,698.00","-","-87.75","-1.83","3,63,168","172.07","6,469.90","4,641.00","-3.98","-7.14"
"MMTC","76.05","76.59","74.02","75.78","74.39","-","-1.39","-1.83","10,46,770","7.87","131.80","53.95","-1.29","28.44"
"POWERGRID","321.30","325.60","313.60","321.65","315.75","-","-5.90","-1.83","1,39,73,399","444.61","366.25","222.70","0.24","35.92"
"MANYAVAR","1,337.95","1,344.80","1,292.75","1,324.70","1,300.35","-","-24.35","-1.84","87,474","11.50","1,512.00","886.05","-4.53","0.24"
"KPIL","1,311.00","1,318.00","1,272.00","1,299.45","1,275.50","-","-23.95","-1.84","2,20,619","28.51","1,449.00","626.95","6.79","102.16"
"BALMLAWRIE","221.00","223.73","216.05","220.15","216.05","-","-4.10","-1.86","1,36,756","3.00","320.45","176.05","0.37","15.65"
"LXCHEM","251.80","252.40","241.05","249.60","244.95","-","-4.65","-1.86","5,28,276","13.06","325.50","220.00","-3.61","-12.24"
"MINDACORP","520.35","520.80","505.50","518.70","509.00","-","-9.70","-1.87","2,52,718","12.94","652.00","365.85","4.92","32.83"
"METROBRAND","1,316.00","1,346.50","1,274.90","1,303.50","1,278.95","-","-24.55","-1.88","3,47,504","45.52","1,430.00","990.05","15.12","-2.07"
"FIEMIND","1,604.00","1,609.00","1,560.00","1,602.20","1,572.00","-","-30.20","-1.88","49,951","7.91","1,790.00","981.00","5.15","-23.26"
"RKFORGE","907.90","913.95","881.00","906.10","889.00","-","-17.10","-1.89","2,09,249","18.81","1,064.05","602.05","-5.87","23.21"
"VESUVIUS","4,877.50","4,931.85","4,751.10","4,877.50","4,785.00","-","-92.50","-1.90","29,130","14.15","5,999.00","3,012.00","-9.89","33.47"
"NIITMTS","462.00","469.45","449.80","463.80","455.00","-","-8.80","-1.90","92,505","4.24","576.90","385.00","-0.99","7.32"
"INFIBEAM","26.39","26.55","25.75","26.30","25.80","-","-0.50","-1.90","54,19,994","14.16","42.50","20.25","-3.40","17.86"
"SFL","963.05","984.45","935.00","971.80","953.30","-","-18.50","-1.90","1,93,754","18.67","1,279.00","774.05","19.65","-21.76"
"GRINDWELL","2,090.00","2,107.45","2,006.50","2,089.60","2,049.75","-","-39.85","-1.91","29,874","6.13","2,960.00","1,875.20","-3.34","-6.96"
"DEN","43.50","43.95","42.35","43.43","42.60","-","-0.83","-1.91","10,46,351","4.52","69.40","42.16","-2.45","-22.26"
"HCG","548.00","548.00","524.85","542.40","532.00","-","-10.40","-1.92","1,90,681","10.15","548.00","314.00","13.65","45.80"
"BATAINDIA","1,365.55","1,374.75","1,338.20","1,368.30","1,342.00","-","-26.30","-1.92","1,21,400","16.45","1,724.25","1,269.00","4.65","-17.15"
"BPCL","293.55","299.20","287.00","294.55","288.85","-","-5.70","-1.94","99,79,749","292.06","376.00","216.23","0.54","-35.70"
"AJANTPHARM","2,875.70","2,907.05","2,805.80","2,875.70","2,819.90","-","-55.80","-1.94","1,11,562","32.10","3,485.00","1,850.25","-2.30","50.96"
"TATATECH","913.00","920.00","890.00","911.70","894.00","-","-17.70","-1.94","11,31,778","102.12","1,248.75","890.00","-5.82","-26.11"
"TATASTEEL","142.89","144.40","140.00","143.26","140.45","-","-2.81","-1.96","4,65,03,449","661.42","184.60","127.85","0.87","7.39"
"WONDERLA","822.20","825.10","797.20","822.15","806.00","-","-16.15","-1.96","82,359","6.66","1,105.90","770.05","-3.65","-4.39"
"EQUITASBNK","65.25","65.95","63.61","65.13","63.85","-","-1.28","-1.97","34,21,377","22.19","116.50","61.35","-2.99","-39.10"
"ADANIPORTS","1,205.00","1,215.90","1,176.20","1,205.00","1,181.30","-","-23.70","-1.97","30,45,185","363.50","1,621.40","989.25","-8.31","16.05"
"SENCO","1,124.80","1,138.95","1,092.05","1,125.65","1,103.45","-","-22.20","-1.97","2,77,315","30.96","1,544.00","681.40","-1.70","52.09"
"GOCOLORS","991.50","1,006.80","970.00","999.10","979.25","-","-19.85","-1.99","26,556","2.62","1,407.80","933.30","-10.02","-24.13"
"RELIANCE","1,224.00","1,239.50","1,201.50","1,230.45","1,206.00","-","-24.45","-1.99","2,03,12,896","2,469.95","1,608.80","1,201.50","-2.93","-52.96"
"GAEL","127.51","128.30","123.48","127.24","124.70","-","-2.54","-2.00","6,13,585","7.72","210.60","117.77","2.81","-67.38"
"CIPLA","1,506.55","1,506.60","1,469.05","1,506.55","1,476.40","-","-30.15","-2.00","21,96,991","326.33","1,702.05","1,205.85","0.03","20.48"
"BANDHANBNK","163.20","164.48","157.01","163.17","159.90","-","-3.27","-2.00","89,62,910","144.57","263.10","157.01","-5.11","-33.24"
"GRASIM","2,530.00","2,563.20","2,479.75","2,539.05","2,487.80","-","-51.25","-2.02","7,34,974","184.09","2,877.75","2,016.55","-0.78","19.33"
"CAPLIPOINT","2,393.00","2,408.00","2,292.50","2,393.60","2,344.90","-","-48.70","-2.03","69,711","16.42","2,539.85","1,225.00","18.41","77.68"
"M&MFIN","272.05","273.60","265.55","272.05","266.50","-","-5.55","-2.04","9,88,040","26.59","343.00","246.20","2.41","-1.43"
"HINDZINC","480.00","483.90","466.30","479.35","469.50","-","-9.85","-2.05","9,35,248","44.43","807.70","284.60","-4.74","52.95"
"UCOBANK","45.00","45.60","44.00","45.24","44.31","-","-0.93","-2.06","49,56,288","22.17","70.65","36.75","4.00","11.28"
"HAVELLS","1,693.15","1,712.90","1,650.00","1,693.15","1,658.25","-","-34.90","-2.06","7,35,134","123.72","2,106.00","1,280.00","1.51","23.59"
"SAIL","118.15","120.86","115.20","118.91","116.45","-","-2.46","-2.07","1,79,11,163","211.84","175.35","102.15","4.17","6.51"
"ECLERX","3,748.80","3,765.75","3,574.45","3,738.80","3,660.90","-","-77.90","-2.08","58,201","21.43","3,877.00","2,114.00","11.94","42.72"
"CONCOR","790.05","795.00","765.05","788.80","772.35","-","-16.45","-2.09","8,85,877","68.73","1,180.00","757.25","-2.27","-8.55"
"SHREECEM","27,701.00","27,786.00","27,000.00","27,617.10","27,041.15","-","-575.95","-2.09","21,938","59.77","30,737.75","23,500.00","12.27","-4.08"
"VBL","628.00","633.00","609.15","628.00","614.90","-","-13.10","-2.09","40,16,697","248.68","681.12","472.78","-2.82","-52.56"
"SBFC","87.10","87.97","84.23","86.75","84.94","-","-1.81","-2.09","16,39,521","14.04","105.81","72.40","0.14","-5.96"
"JSWINFRA","314.70","318.70","304.95","313.60","307.05","-","-6.55","-2.09","17,16,995","53.49","360.95","202.00","3.18","44.05"
"HINDOILEXP","198.50","201.90","191.10","196.72","192.60","-","-4.12","-2.09","6,16,645","12.14","293.55","156.75","5.86","7.39"
"ISGEC","1,544.85","1,558.80","1,505.25","1,545.15","1,512.70","-","-32.45","-2.10","84,854","12.96","1,675.55","810.00","17.24","61.08"
"ACI","672.80","672.80","650.00","667.85","653.80","-","-14.05","-2.10","98,153","6.48","837.70","571.30","-3.33","-0.93"
"SBICARD","703.40","708.15","685.10","703.40","688.60","-","-14.80","-2.10","6,08,957","42.37","817.40","647.95","0.36","-10.22"
"CHOLAFIN","1,215.95","1,229.70","1,182.80","1,213.75","1,188.00","-","-25.75","-2.12","23,00,317","277.60","1,652.00","1,011.20","-3.76","-3.14"
"JYOTHYLAB","386.45","387.00","374.25","382.55","374.40","-","-8.15","-2.13","7,89,938","30.05","595.85","366.80","-7.13","-19.77"
"ALLCARGO","52.32","53.05","51.13","52.52","51.40","-","-1.12","-2.13","17,47,955","9.06","98.00","51.13","-5.45","-82.03"
"FINEORG","4,853.80","4,895.95","4,737.05","4,853.80","4,750.00","-","-103.80","-2.14","23,426","11.27","5,958.85","4,021.00","0.70","4.07"
"DATAMATICS","658.00","667.50","636.10","650.95","637.00","-","-13.95","-2.14","1,44,667","9.45","775.80","450.00","20.14","-9.78"
"CCL","765.00","771.90","741.30","764.35","747.90","-","-16.45","-2.15","1,32,755","10.05","855.00","551.60","6.26","17.52"
"DCBBANK","125.94","125.94","120.61","125.03","122.32","-","-2.71","-2.17","13,26,852","16.33","163.45","108.69","5.54","-3.64"
"MEDANTA","1,126.00","1,135.00","1,090.40","1,125.40","1,101.00","-","-24.40","-2.17","2,20,939","24.58","1,513.90","908.00","0.61","17.09"
"LICHSGFIN","592.50","601.95","577.45","591.85","579.00","-","-12.85","-2.17","21,25,670","125.52","826.75","505.05","-5.55","12.27"
"JBCHEPHARM","1,916.50","1,935.00","1,860.65","1,913.25","1,871.50","-","-41.75","-2.18","2,05,327","38.90","2,030.00","1,435.00","13.49","27.23"
"GULFOILLUB","1,205.15","1,224.95","1,160.50","1,194.55","1,168.40","-","-26.15","-2.19","2,23,015","26.68","1,513.55","632.05","8.10","76.33"
"MAPMYINDIA","1,729.80","1,736.50","1,657.00","1,720.70","1,683.00","-","-37.70","-2.19","2,62,943","44.11","2,747.85","1,513.00","1.05","-18.42"
"GLAXO","2,325.00","2,326.30","2,264.00","2,326.30","2,275.10","-","-51.20","-2.20","85,491","19.61","3,088.00","1,667.85","-6.65","31.28"
"JMFINANCIL","133.30","136.75","129.00","132.93","130.00","-","-2.93","-2.20","44,77,884","60.04","168.75","69.00","-0.85","32.06"
"WIPRO","315.50","320.00","304.40","312.75","305.85","-","-6.90","-2.21","2,22,14,824","685.51","320.00","208.50","-45.69","-29.68"
"AMBUJACEM","563.50","569.60","547.00","563.30","550.85","-","-12.45","-2.21","21,13,009","117.45","706.95","453.05","-0.14","8.91"
"EPIGRAL","2,023.10","2,040.00","1,949.00","2,005.25","1,960.90","-","-44.35","-2.21","38,250","7.59","2,406.75","888.10","1.98","118.13"
"JYOTICNC","1,384.75","1,411.85","1,319.05","1,371.50","1,341.15","-","-30.35","-2.21","5,85,556","79.88","1,504.30","368.00","14.04","-"
"CHENNPETRO","606.00","617.80","590.25","606.20","592.75","-","-13.45","-2.22","17,42,333","105.60","1,275.00","562.55","2.66","-13.23"
"LALPATHLAB","3,020.00","3,030.80","2,935.00","3,022.50","2,955.40","-","-67.10","-2.22","88,530","26.43","3,653.95","1,943.70","-3.13","13.72"
"TCS","4,329.00","4,382.00","4,152.50","4,271.90","4,177.05","-","-94.85","-2.22","41,16,989","1,745.52","4,592.25","3,591.50","3.24","10.11"
"EMCURE","1,378.05","1,385.00","1,345.00","1,389.05","1,358.00","-","-31.05","-2.24","73,365","10.07","1,580.00","1,225.00","5.14","-"
"MEDPLUS","864.00","867.00","840.20","865.35","846.00","-","-19.35","-2.24","2,13,547","18.23","875.65","598.60","14.79","13.62"
"PNCINFRA","319.50","321.40","310.10","319.65","312.50","-","-7.15","-2.24","5,19,385","16.43","574.80","281.60","3.99","-9.23"
"JKIL","773.35","777.00","750.50","773.35","756.00","-","-17.35","-2.24","1,67,307","12.71","936.80","460.50","10.05","53.65"
"JAMNAAUTO","99.80","100.55","96.25","99.24","97.00","-","-2.24","-2.26","12,19,577","11.98","149.66","96.25","-3.53","-8.67"
"SBIN","834.90","836.00","810.00","832.80","814.00","-","-18.80","-2.26","1,02,44,198","839.19","912.00","600.65","1.12","26.14"
"BLUESTARCO","2,047.05","2,054.60","1,966.65","2,043.90","1,997.70","-","-46.20","-2.26","1,66,495","33.36","2,199.55","901.55","9.04","112.90"
"NAVINFLUOR","3,417.00","3,418.40","3,292.65","3,388.75","3,311.95","-","-76.80","-2.27","84,513","28.26","3,920.90","2,875.95","-0.96","-11.70"
"VENKEYS","1,820.00","1,822.70","1,750.15","1,811.10","1,770.00","-","-41.10","-2.27","20,797","3.71","2,559.95","1,531.00","2.37","-8.45"
"SHRIRAMFIN","2,953.25","2,960.70","2,843.65","2,945.45","2,878.60","-","-66.85","-2.27","24,99,820","722.19","3,652.25","1,972.00","1.86","42.66"
"KIRLPNU","1,649.00","1,672.90","1,601.10","1,654.75","1,617.00","-","-37.75","-2.28","67,533","11.07","1,817.00","591.05","0.84","166.56"
"ADANIPOWER","511.40","527.00","491.05","508.30","496.70","-","-11.60","-2.28","80,79,059","414.13","895.85","432.00","-5.00","-"
